author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ИНФИНИТИ,real_estate_agent,https://www.cian.ru/sale/flat/309005888/,Москва,sale,flat,3,12,1,35.0,-1,0,10890000.0,Южное Медведково,Ясный проезд,28,Свиблово,
А101,developer,https://www.cian.ru/sale/flat/308314036/,Москва,sale,flat,11,13,1,33.4,-1,0,8906567.0,,,18.1.4,Бунинская аллея,Скандинавия ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299010722/,Москва,sale,flat,4,4,1,40.0,-1,0,38500000.0,Мещанский, Кузнецкий Мост,19С1,Кузнецкий мост,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/302263383/,Москва,sale,flat,14,45,1,41.3,-1,0,12800000.0,Нижегородский,Перовское шоссе,,Нижегородская,Level Нижегородская
А101,developer,https://www.cian.ru/sale/flat/306741744/,Москва,sale,flat,13,15,1,33.3,-1,0,8977547.0,,,,Ольховая,Деснаречье ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308469108/,Москва,sale,flat,6,10,1,45.7,-1,0,39490000.0,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309118651/,Москва,sale,flat,4,5,1,30.9,-1,0,9900000.0,Южное Тушино,проезд Цветочный,9с1,Сходненская,
А101,developer,https://www.cian.ru/sale/flat/307513788/,Москва,sale,flat,9,30,1,30.3,-1,0,10492118.0,Южное Бутово, Бунинская Аллея,,Бунинская аллея,Южные сады
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/295210015/,Москва,sale,flat,14,23,1,41.1,-1,0,20800000.0,Хорошево-Мневники,Жилой комплекс остров,2-й кв-л,Терехово ,Остров
MR Group,developer,https://www.cian.ru/sale/flat/306612160/,Москва,sale,flat,24,59,1,31.5,-1,0,,Можайский,,,Давыдково,Веер ЖК
AR Realty - Real Estate Agency,real_estate_agent,https://www.cian.ru/sale/flat/304192828/,Москва,sale,flat,5,8,1,40.0,-1,0,24600000.0,Филевский парк,Береговой проезд,3,Фили,Береговой
ДомДау,developer,https://www.cian.ru/sale/flat/290778387/,Москва,sale,flat,20,85,1,54.7,-1,0,46646386.0,Пресненский,Московский международный деловой центр Москва-Сити тер.,,,Дом Дау
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299739660/,Москва,sale,flat,7,33,1,47.0,-1,0,26500000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
Главстрой,developer,https://www.cian.ru/sale/flat/307942670/,Москва,sale,flat,22,35,1,42.57,-1,0,25389173.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Chase R.E.S.,real_estate_agent,https://www.cian.ru/sale/flat/307446962/,Москва,sale,flat,9,17,1,63.0,-1,0,26700000.0,Соколиная гора,Борисовская ,1,Измайлово,
