location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Не указано,Южнопортовый,1,24.5,1,7,Кожуховская,6900000,281632
Москва,Эдельвейс,Фрунзенская,1,42.5,6,9,Крёкшино,6500000,152941
Москва,Не указано,Северное Медведково,1,37.0,3,14,Медведково,12325000,333108
Москва,Кленовые Аллеи,Фрунзенская,1,32.1,7,13,Кедровая,8300000,258566
Москва,Митинский лес,Митино,1,36.6,16,24,Пятницкое шоссе,9500000,259562
Москва,Не указано,Солнцево,1,38.6,16,22,Солнцево,9500000,246113
Москва,Не указано,Алтуфьевский,1,30.4,1,12,Бибирево,8900000,292763
Москва,Не указано,Савеловский,1,31.7,3,5,Дмитровская,11000000,347003
Москва,Не указано,Крюково,1,38.0,17,17,Зеленоград — Крюково,8200000,215789
Москва,Не указано,Лосиноостровский,1,32.7,6,9,Медведково,8800000,269113
Москва,Эдельвейс,Фрунзенская,1,43.14,6,7,Крёкшино,6500000,150672
Москва,Остафьево ЖК,Фрунзенская,1,34.64,4,14,Щербинка,6501391,187684
Москва,Борисоглебское,Фрунзенская,1,35.8,2,3,Апрелевка,6515600,182000
Москва,Комплекс апартаментов ,Крюково,1,32.9,2,7,Нахабино,6550390,199100
Москва,Квартал Западный ЖК,Фрунзенская,1,32.87,12,14,Рассказовка,6647004,202220
Москва,Эко Бунино ЖК,Фрунзенская,1,32.11,12,23,Летово,6713382,209074
Москва,Квартал Марьино ЖК,Фрунзенская,1,36.71,12,17,Филатов Луг,6681423,182005
Москва,Родные кварталы ЖК,Фрунзенская,1,32.5,4,9,Толстопальцево,6744144,207512
Москва,Подольские Кварталы ЖК,Фрунзенская,1,36.23,1,9,Силикатная,6747548,186242
Москва,Подольские Кварталы ЖК,Фрунзенская,1,34.98,6,9,Силикатная,6721057,192139
Москва,Подольские Кварталы ЖК,Фрунзенская,1,35.64,9,9,Силикатная,6681752,187479
Москва,Квартал Герцена ЖК,Бирюлево Восточное,1,23.72,22,30,Орехово,6718518,283242
Москва,Эдельвейс,Фрунзенская,1,42.5,4,9,Крёкшино,6757500,159000
Москва,Эдельвейс ЖК,Фрунзенская,1,42.8,3,9,Крёкшино,6762400,158000
Москва,Цветочные Поляны ЖК,Фрунзенская,1,36.34,16,17,Филатов Луг,6750465,185758
Москва,Цветочные Поляны ЖК,Фрунзенская,1,33.77,15,17,Филатов Луг,6787533,200992
Москва,Цветочные Поляны ЖК,Фрунзенская,1,33.46,17,17,Филатов Луг,6785621,202797
Москва,Цветочные Поляны,Фрунзенская,1,32.7,11,16,Филатов Луг,6791071,207678
Москва,Эдельвейс,Фрунзенская,1,42.8,4,9,Крёкшино,6800000,158878
Москва,Эдельвейс ЖК,Фрунзенская,1,43.7,2,9,Крёкшино,6860900,156999
Москва,Борисоглебское,Фрунзенская,1,39.2,1,3,Апрелевка,6860000,174999
Москва,Подольские Кварталы ЖК,Фрунзенская,1,36.46,9,9,Силикатная,6803618,186604
Москва,Квартал Герцена ЖК,Бирюлево Восточное,1,23.27,8,16,Орехово,6869549,295210
Москва,Квартал Марьино ЖК,Фрунзенская,1,32.26,14,17,Филатов Луг,6820929,211436
Москва,Эко Бунино ЖК,Фрунзенская,1,34.2,13,16,Летово,6947866,203153
Москва,Остафьево ЖК,Фрунзенская,1,37.22,10,14,Щербинка,6909744,185645
Москва,Новое Внуково ЖК,Фрунзенская,1,34.63,1,5,Рассказовка,6920373,199837
Москва,Подольские Кварталы ЖК,Фрунзенская,1,40.79,6,7,Силикатная,6942876,170210
Москва,Квартал Западный ЖК,Фрунзенская,1,32.25,14,14,Рассказовка,6910594,214281
Москва,Эко Бунино ЖК,Фрунзенская,1,34.67,10,12,Летово,6932449,199955
