location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Интонация,Щукино,1,48.1,17,21,Щукинская,27019838,561742
Москва,Не указано,Фрунзенская,1,41.0,10,17,Бачуринская,9700000,236585
Москва,Не указано,Чертаново Центральное,1,32.2,2,9,Южная,8100000,251552
Москва,Mod,Марьина роща,1,40.75,8,44,Марьина Роща,21801250,535000
Москва,Не указано,Братеево,1,39.0,21,22,Алма-Атинская,11300000,289743
Москва,Не указано,Кунцево,1,37.9,14,17,Молодёжная,14900000,393139
Москва,Frank's house,Мещанский,1,62.7,3,8,Тургеневская,99307082,1583845
Москва,Интонация,Щукино,1,48.4,5,21,Щукинская,21250000,439049
Москва,Матвеевский парк,Очаково-Матвеевское,1,37.6,3,33,Аминьевская,15000000,398936
Москва,ОМ,Очаково-Матвеевское,1,43.5,2,24,Озёрная,17768630,408474
Москва,Комплекс апартаментов B’aires,Щукино,1,43.0,18,22,Стрешнево,18700000,434883
Москва,Не указано,Гольяново,1,39.0,12,12,Щёлковская,9600000,246153
Москва,Элитный квартал Тишинский бульвар,Пресненский,1,51.4,3,9,Белорусская,58500000,1138132
Москва,Не указано,Можайский,1,41.5,10,14,Сетунь,10300000,248192
Москва,Не указано,Южное Бутово,1,42.3,3,14,Щербинка,7800000,184397
Москва,CRYSTAL Трилогия,Хорошево-Мневники,1,36.9,21,28,Народное Ополчение,18117900,491000
Москва,Комплекс апартаментов B’aires,Щукино,1,36.4,15,22,Стрешнево,16500000,453296
Москва,Измайловский Парк,Соколиная гора,1,24.7,11,24,Измайлово,8600000,348178
Москва,Селигер Сити ЖК,Западное Дегунино,1,38.93,14,21,Селигерская,15359878,394551
Москва,Акватория ЖК,Левобережный,1,44.0,11,20,Беломорская,22490000,511136
Москва,Молжаниново,Молжаниновский,1,36.5,15,16,Новоподрезково,8990000,246301
Москва,Титул на Серебрянической,Таганский,1,65.1,6,9,Китай-город,55380179,850693
Москва,Октябрьское поле,Щукино,1,38.8,13,25,Бульвар Генерала Карбышева,14800000,381443
Москва,Южные Сады ЖК,Южное Бутово,1,28.4,5,30,Бунинская аллея,8600000,302816
Москва,Преображенская площадь,Преображенское,1,40.38,5,16,Преображенская площадь,18808124,465778
Москва,Комплекс апартаментов B’aires,Щукино,1,38.5,15,18,Стрешнево,16500000,428571
Москва,Не указано,Ховрино,1,40.7,14,18,Грачёвская,10699999,262899
Москва,Дом Горизонтов,Крылатское,1,46.32,4,27,Молодёжная,32198000,695120
Москва,Комплекс апартаментов B’aires,Щукино,1,43.5,17,22,Стрешнево,18500000,425287
Москва,Не указано,Хорошевский,1,36.8,5,9,Полежаевская,17632000,479130
Москва,AHEAD,Филевский парк,1,69.3,8,17,Филёвский парк,41254290,595300
Москва,Сердце Столицы,Хорошево-Мневники,1,46.4,2,44,Шелепиха,22300000,480603
Москва,Зеленая Вертикаль,Чертаново Южное,1,40.0,12,19,Лесопарковая,6900000,172500
Москва,Не указано,Гагаринский,1,35.3,10,12,Профсоюзная,15500000,439093
Москва,Не указано,Даниловский,1,20.0,4,4,Тульская,8200000,410000
Москва,Чкалов ЖК,Басманный,1,31.7,21,21,Чкаловская,31700000,1000000
Москва,Не указано,Тропарево-Никулино,1,19.4,22,22,Юго-Западная,8880000,457731
Москва,Апартаменты Алтай,Марфино,1,35.0,1,5,Окружная,9100000,260000
Москва,Сберсити ЖК,Фрунзенская,1,45.9,5,9,Серебряный Бор,21641850,471500
Москва,Башня Федерация,Пресненский,1,73.0,79,97,Деловой центр,72900000,998630
Москва,Талисман на Рокоссовского,Богородское,1,34.7,9,28,Бульвар Рокоссовского,14500000,417867
Москва,Семеновский Парк 2 ЖК,Соколиная гора,1,37.6,5,26,Соколиная гора,14543191,386786
Москва,Не указано,Тропарево-Никулино,1,19.1,22,22,Юго-Западная,10110000,529319
Москва,Павелецкая Сити ЖК,Даниловский,1,45.1,4,21,Павелецкая,18927568,419679
Москва,Ситизен ЖК,Покровское-Стрешнево,1,36.4,6,15,Тушинская,14672330,403085
Москва,Wellton Towers,Хорошево-Мневники,1,42.0,14,48,Народное Ополчение,24500000,583333
Москва,Не указано,Северное Тушино,1,35.0,3,14,Планерная,10500000,300000
Москва,Архитектор ЖК,Обручевский,1,34.3,45,47,Калужская,20360480,593600
Москва,Не указано,Москворечье-Сабурово,1,37.9,14,17,Москворечье,8700000,229551
Москва,Династия,Хорошевский,1,42.9,13,24,Полежаевская,24000000,559440
Москва,Не указано,Чертаново Центральное,1,42.0,6,18,Пражская,13000000,309523
Москва,Татарская 35,Замоскворечье,1,54.0,2,19,Новокузнецкая,53946000,999000
Москва,ÁLIA,Покровское-Стрешнево,1,42.06,12,12,Спартак,20600000,489776
Москва,Не указано,Хамовники,1,56.5,3,9,Смоленская,35000000,619469
Москва,Сенатор,Останкинский,1,48.6,14,22,ВДНХ,25876852,532445
Москва,Не указано,Тропарево-Никулино,1,17.2,22,22,Юго-Западная,8780000,510465
Москва,Матвеевский парк,Очаково-Матвеевское,1,31.7,11,33,Аминьевская,14600000,460567
Москва,Не указано,Тропарево-Никулино,1,14.3,22,22,Юго-Западная,8280000,579020
Москва,Не указано,Фрунзенская,1,28.1,5,5,Щербинка,6300000,224199
Москва,Level Бауманская,Басманный,1,37.7,2,21,Электрозаводская,20208954,536046
Москва,Не указано,Тропарево-Никулино,1,20.2,22,22,Юго-Западная,10380000,513861
Москва,PerovSky,Перово,1,55.0,2,23,Новогиреево,15500000,281818
Москва,"Тессинский, 1",Таганский,1,57.0,4,8,Чкаловская,68900000,1208771
Москва,Не указано,Вешняки,1,35.0,10,14,Вешняки,8900000,254285
Москва,Метрополия,Южнопортовый,1,37.5,9,30,Волгоградский проспект,17725242,472673
Москва,Не указано,Северное Медведково,1,38.7,3,17,Медведково,13400000,346253
Москва,Первый Нагатинский,Нагатино-Садовники,1,41.65,26,28,Нагатинская,22378095,537289
Москва,Лайнер,Хорошевский,1,32.4,4,15,ЦСКА,14000000,432098
Москва,Комплекс апартаментов B’aires,Щукино,1,43.4,18,22,Стрешнево,19500000,449308
Москва,Не указано,Нагатино-Садовники,1,39.0,3,12,Каширская,14000000,358974
Москва,Republic,Пресненский,1,32.07,3,27,Белорусская,22210238,692554
Москва,Не указано,Тропарево-Никулино,1,16.0,22,22,Юго-Западная,8880000,555000
Москва,Не указано,Можайский,1,53.0,3,5,Рабочий посёлок,12800000,241509
Москва,Портлэнд ЖК,Печатники,1,32.8,8,29,Нагатинский Затон,16019520,488400
Москва,Дом Chkalov,Басманный,1,42.1,9,21,Чкаловская,31900000,757719
Москва,Прима-Парк,Фрунзенская,1,35.0,3,16,Щербинка,7500000,214285
Москва,iLove,Останкинский,1,43.6,2,37,Алексеевская,22323200,511999
Москва,Комплекс апартаментов B’aires,Щукино,1,43.2,18,22,Стрешнево,18700000,432870
